sepal_length,sepal_width,petal_length,petal_width,species,rcd___id
5.1,3.5,1.4,0.2,setosa,hct8aj0j
4.9,3,1.4,0.2,setosa,usz4uzoh
4.7,3.2,1.3,0.2,setosa,xfi8a7un
4.6,3.1,1.5,0.2,setosa,5suui9gp
5,3.6,1.4,0.2,setosa,n0kzx04y
5.4,3.9,1.7,0.4,setosa,6twpvc5x
4.6,3.4,1.4,0.3,setosa,l040oyb3
5,3.4,1.5,0.2,setosa,xsd3wnf1
4.4,2.9,1.4,0.2,setosa,hoyeif6z
4.9,3.1,1.5,0.1,setosa,3kbh5tzs
5.4,3.7,1.5,0.2,setosa,zp5z9f02
4.8,3.4,1.6,0.2,setosa,yy7kj7xv
4.8,3,1.4,0.1,setosa,722pit97
4.3,3,1.1,0.1,setosa,a2ypcybq
5.8,4,1.2,0.2,setosa,q1tm15n1
5.7,4.4,1.5,0.4,setosa,spgquptw
5.4,3.9,1.3,0.4,setosa,9t2s8pt3
5.1,3.5,1.4,0.3,setosa,spgjl0w3
5.7,3.8,1.7,0.3,setosa,ywqb0n6v
5.1,3.8,1.5,0.3,setosa,ntaa2l3u
5.4,3.4,1.7,0.2,setosa,t8dhewfe
5.1,3.7,1.5,0.4,setosa,penhnmf6
4.6,3.6,1,0.2,setosa,zhgvblgy
5.1,3.3,1.7,0.5,setosa,9jjgiiw5
4.8,3.4,1.9,0.2,setosa,g4130gc6
5,3,1.6,0.2,setosa,uzv1d5lj
5,3.4,1.6,0.4,setosa,4hqwpaut
5.2,3.5,1.5,0.2,setosa,2rnt5v3a
5.2,3.4,1.4,0.2,setosa,sc6vbgua
4.7,3.2,1.6,0.2,setosa,g7zatl1e
4.8,3.1,1.6,0.2,setosa,s5zdwvw6
5.4,3.4,1.5,0.4,setosa,8qeqm5wu
5.2,4.1,1.5,0.1,setosa,cnuwawuh
5.5,4.2,1.4,0.2,setosa,gomuwvqr
4.9,3.1,1.5,0.2,setosa,vpzzq3jm
5,3.2,1.2,0.2,setosa,nnyfm24e
5.5,3.5,1.3,0.2,setosa,a2xctldw
4.9,3.6,1.4,0.1,setosa,ck8y328r
4.4,3,1.3,0.2,setosa,87xe5dfy
5.1,3.4,1.5,0.2,setosa,dy74g8dz
5,3.5,1.3,0.3,setosa,sw8tmws9
4.5,2.3,1.3,0.3,setosa,raqjdyn3
4.4,3.2,1.3,0.2,setosa,h05rto5z
5,3.5,1.6,0.6,setosa,lqhvwk9w
5.1,3.8,1.9,0.4,setosa,qhczv2qn
4.8,3,1.4,0.3,setosa,mw25707r
5.1,3.8,1.6,0.2,setosa,j6s6y540
4.6,3.2,1.4,0.2,setosa,7oeo3wge
5.3,3.7,1.5,0.2,setosa,051a6t2i
5,3.3,1.4,0.2,setosa,hkl72y9d
7,3.2,4.7,1.4,versicolor,t2tq5jco
6.4,3.2,4.5,1.5,versicolor,b6oprzug
6.9,3.1,4.9,1.5,versicolor,ui5xfv6g
5.5,2.3,4,1.3,versicolor,lkfe24kk
6.5,2.8,4.6,1.5,versicolor,i1an3b1a
5.7,2.8,4.5,1.3,versicolor,cf2t15zf
6.3,3.3,4.7,1.6,versicolor,5gbc6p4o
4.9,2.4,3.3,1,versicolor,ksywlvbq
6.6,2.9,4.6,1.3,versicolor,thcm6v6i
5.2,2.7,3.9,1.4,versicolor,6rm3mz2o
5,2,3.5,1,versicolor,bu4r4bw9
5.9,3,4.2,1.5,versicolor,x9d05amv
6,2.2,4,1,versicolor,ca66j9ve
6.1,2.9,4.7,1.4,versicolor,i2easnwj
5.6,2.9,3.6,1.3,versicolor,ecg26x2e
6.7,3.1,4.4,1.4,versicolor,tg3558k7
5.6,3,4.5,1.5,versicolor,ofig8pnr
5.8,2.7,4.1,1,versicolor,35mgrn0g
6.2,2.2,4.5,1.5,versicolor,6ym69q62
5.6,2.5,3.9,1.1,versicolor,iqk8kjw6
5.9,3.2,4.8,1.8,versicolor,pm18vxus
6.1,2.8,4,1.3,versicolor,mtufmeyn
6.3,2.5,4.9,1.5,versicolor,j4y9z26g
6.1,2.8,4.7,1.2,versicolor,q5yy2up1
6.4,2.9,4.3,1.3,versicolor,e2pbxuk9
6.6,3,4.4,1.4,versicolor,ecppi6pe
6.8,2.8,4.8,1.4,versicolor,fsqfmmj7
6.7,3,5,1.7,versicolor,vb67dlhe
6,2.9,4.5,1.5,versicolor,vh639qr8
5.7,2.6,3.5,1,versicolor,tfi08vr3
5.5,2.4,3.8,1.1,versicolor,egje1ov5
5.5,2.4,3.7,1,versicolor,7pntcvha
5.8,2.7,3.9,1.2,versicolor,vo4bvbwx
6,2.7,5.1,1.6,versicolor,xzfy4ti2
5.4,3,4.5,1.5,versicolor,hcccd974
6,3.4,4.5,1.6,versicolor,3dkexbwq
6.7,3.1,4.7,1.5,versicolor,ueotd689
6.3,2.3,4.4,1.3,versicolor,2diiuvv5
5.6,3,4.1,1.3,versicolor,9wi236c8
5.5,2.5,4,1.3,versicolor,u39somwm
5.5,2.6,4.4,1.2,versicolor,dig6qyql
6.1,3,4.6,1.4,versicolor,iq0sax5h
5.8,2.6,4,1.2,versicolor,xr8we7wr
5,2.3,3.3,1,versicolor,0npc56xt
5.6,2.7,4.2,1.3,versicolor,u4598t9w
5.7,3,4.2,1.2,versicolor,grl6dcn8
5.7,2.9,4.2,1.3,versicolor,to0dpdng
6.2,2.9,4.3,1.3,versicolor,uexygij5
5.1,2.5,3,1.1,versicolor,r4atppp8
5.7,2.8,4.1,1.3,versicolor,rh3cdlwj
6.3,3.3,6,2.5,virginica,5t43cvq9
5.8,2.7,5.1,1.9,virginica,dudkbgfi
7.1,3,5.9,2.1,virginica,rkj8x5s6
6.3,2.9,5.6,1.8,virginica,ciruubxz
6.5,3,5.8,2.2,virginica,cajuzoff
7.6,3,6.6,2.1,virginica,68985syg
4.9,2.5,4.5,1.7,virginica,t3squi0i
7.3,2.9,6.3,1.8,virginica,i1qr5t2i
6.7,2.5,5.8,1.8,virginica,iq2z1xla
7.2,3.6,6.1,2.5,virginica,056t9qka
6.5,3.2,5.1,2,virginica,fo52v5m7
6.4,2.7,5.3,1.9,virginica,9b17kq8d
6.8,3,5.5,2.1,virginica,kzqzwlqm
5.7,2.5,5,2,virginica,p8hv6olt
5.8,2.8,5.1,2.4,virginica,q8kskcw4
6.4,3.2,5.3,2.3,virginica,bue10dcb
6.5,3,5.5,1.8,virginica,d28mnhlw
7.7,3.8,6.7,2.2,virginica,ax46p3vc
7.7,2.6,6.9,2.3,virginica,ymyijmqp
6,2.2,5,1.5,virginica,8d9fhij4
6.9,3.2,5.7,2.3,virginica,f19l0j83
5.6,2.8,4.9,2,virginica,4szwszxa
7.7,2.8,6.7,2,virginica,u7jmpbli
6.3,2.7,4.9,1.8,virginica,7p7xxuge
6.7,3.3,5.7,2.1,virginica,dncgml8q
7.2,3.2,6,1.8,virginica,2t9rfjui
6.2,2.8,4.8,1.8,virginica,6thxfit4
6.1,3,4.9,1.8,virginica,3sqd9hvt
6.4,2.8,5.6,2.1,virginica,ndeoc2rh
7.2,3,5.8,1.6,virginica,md005f4r
7.4,2.8,6.1,1.9,virginica,6at21hy8
7.9,3.8,6.4,2,virginica,kyh1sqw9
6.4,2.8,5.6,2.2,virginica,fqlb412d
6.3,2.8,5.1,1.5,virginica,exz4ew5n
6.1,2.6,5.6,1.4,virginica,6jcpaz2g
7.7,3,6.1,2.3,virginica,ylrq3v9c
6.3,3.4,5.6,2.4,virginica,6balfymh
6.4,3.1,5.5,1.8,virginica,oqod4icn
6,3,4.8,1.8,virginica,i2n77phe
6.9,3.1,5.4,2.1,virginica,9g44i8pq
6.7,3.1,5.6,2.4,virginica,3gjr30rh
6.9,3.1,5.1,2.3,virginica,k4zvvvpr
5.8,2.7,5.1,1.9,virginica,a7dk5jbb
6.8,3.2,5.9,2.3,virginica,1ijyt1lm
6.7,3.3,5.7,2.5,virginica,kiph2c1x
6.7,3,5.2,2.3,virginica,ylff0hdg
6.3,2.5,5,1.9,virginica,1w91itss
6.5,3,5.2,2,virginica,hmy4roox
6.2,3.4,5.4,2.3,virginica,x9yk0f6l
5.9,3,5.1,1.8,virginica,hwll1dx4
